#不要报考太原师范学院#顶上去，坚持到高考结束 ?
"//@龄龙走花路_:#太原师范回应 未发生暴力行为#  #正义网友与太原师范王芝芝通话录音# #太原师范学院# #校园霸凌#,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺 ?  展开全文,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺利毕业。不知道学校做出了哪些让步和承诺……3、芝芝坚持依法维权，进行诉讼。律师没明说，现在只有芝芝坚持需要律师，而家长想接受学校的条件，不需要律师了。这件事是离不开律师的法律维权的，家长特别容易被忽悠。4、现在一些护校蛆开始变本加厉，各种造谣生事了。表现出人性之恶，有些女大学生出口成脏，令人震惊之余，怀疑这所学校到底怎么了？5、这几天在网上支持芝芝，就是为了反对校园欺凌，就是为了社会的公平正义，我就是不能容忍施暴者趾高气扬，受辱者忍气吞声，这不是我们这个时代的正义，这是蒙羞。#太原师范回应 未发生暴力行为##太原师范回应女生遭校园暴力##起侮辱性绰号也属于欺凌##太原师范回应女生遭校园暴力# 收起全文"
"//@晨晨无话可说:一天一问，处理了吗#太原# #太原师范回应 未发生暴力行为# #李梓瑶# #赵湘# #不要报考太原师范学院# #太原师范回应 未发生暴力行为# //@晨晨无话可说:一天一问，处理了吗#李梓瑶# #太原# #太原师范回应 未发生暴力行为#,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？  ?  展开全文,#太原师范回应 未发生暴力行为#太原师范学院正式回应表示“4人在宿舍经常互相打闹未发生过暴力行为，不存在扒衣服行为更不存在向外发布裸照行为，表示拍摄的视频仅发在了本宿舍的qq群”，#赵湘#随后网友们纷纷表示#李梓瑶#“这个回应很不满意一定存在阴谋”，大家觉得此件事情真的就这么简单吗？ 扒圈新闻的秒拍视频 收起全文"
"#太原师范学院# 情感上偏向芝芝，但是不论结果如何#太原师范学院# 的处理方式都烂爆了。不管哪方是受害者事情搞这么大都应该报警处理。校园暴力或者造谣都是犯法!,有网友私信我，给了另一种说法。不知道截图真伪。两种说法都发了，第一种详见前条微博。不要急着骂，万一事件有反转。大家自己判断，实时关注事件进展。谢谢大家的善良我也是操碎了心————————————————————还有…网友真是冲动，连我都骂。我从一开始就说不知道 ?  展开全文,有网友私信我，给了另一种说法。不知道截图真伪。两种说法都发了，第一种详见前条微博。不要急着骂，万一事件有反转。大家自己判断，实时关注事件进展。谢谢大家的善良我也是操碎了心————————————————————还有…网友真是冲动，连我都骂。我从一开始就说不知道截图真伪，让大家自己判断。你们瞎高潮什么？我不是和稀泥，而是有人给我发了另一种说法的截图，如果我不发出来，未免偏颇，我总不能选择性忽视另一种说法。一开始是愤怒，后来又怕误伤。我只是把两种说法都发出来，让大家自己判断。在没有完整视频等确凿证据下，只往一方面引导会逼死人的。希望德阳安医生事件不要再现。总之，机构回避事件真相，打压信息是更让大家愤怒的。——————————骂我的都他妈给我消停点，带个脑子来。都他妈没看我其他微博就跑来骂，怕的就是你们这种人，没看我上条微博就来骂我，骂完再道歉很有脸么？说我蹭热度，我是不想蹭，然后呢？就不了了之旁观，没人发声了？让大家全都只看到片面的一方之辞然后又说国人冷漠？我从来就是设置关注回复，凭什么突然改？都不敢做好人就你们这种人害的。————————————————————有人说洗白，请问什么叫洗白？我仅凭自己的主观判断就把事件往一个方向推，选择性忽视另一种声音就是“不洗”吗？脾气没处发少特么波及我，我只是看不过去把原始新闻转发。原始新闻不在我这。————————————好多人骂了半天说发现骂错人了，跟我道歉，我不就是怕这种类似的事情发生才发出其他声音让你们自己判断？我皮糙肉厚扛得住，但如果是人家小姑娘呢？德阳安医生事件里，女医生为什么因为舆论的一边倒而自杀？你们为什么不反思？#太原师范学院校园暴力反转##太原师范学院校园暴力##太原师范学院##瑶瑶最爱社会摇# 收起全文"
#太原师范学院#从关注开始到现在这样的处理结果也是预料之中 网友也不要对芝芝太很铁不成钢因为她也只是一个在校大学生  未来她还需要在校继续读书 而网友们也是一个短期内的支持 换个角度来说 她继续在校读书也有可能会接受其他人的指点导致病情可能更严重 但尊重当事人的决定吧 自己的路自己走才知道 ?
"@太原师范学院-  进来学习,获悉网上关于我院某研究生涉嫌在网络平台上发布违反社会道德的相关言论，我们高度重视，立即着手核查，对这种违背社会道德的言行绝不姑息，一经查实，我们将按照校纪校规严肃处理，欢迎网友对我们的工作进行监督。 ?"
@太原师范学院- 你们好不要脸啊这是什么解决提出问题的人的骚操作 ?
"#太原师范回应 未发生暴力行为# 太原师范学院还是个学校吗？逼学生加班强行洗白，害可怜的太原学子被冤枉攻击被骂家人，果然还是不同的学校不同的教育，@太原理工大学微博协会 和@太原师范学院- 就是一个鲜明的对比太原理工并没有避开话题，而是为同学们解决问题，给了大家一个公平的处理和一个交代 ?  展开全文,#太原师范回应 未发生暴力行为# 太原师范学院还是个学校吗？逼学生加班强行洗白，害可怜的太原学子被冤枉攻击被骂家人，果然还是不同的学校不同的教育，@太原理工大学微博协会 和@太原师范学院- 就是一个鲜明的对比太原理工并没有避开话题，而是为同学们解决问题，给了大家一个公平的处理和一个交代再看看太原师范学院的作风，袒护施暴者，掩盖事实，想要一压再压，用毕业证和处分威胁同学，真是个好学校而图二中的事件，太原师范学院的受害者最多，却偏偏只有太原理工大学出来回应此事，并解决此事，这时候太原师范学院去哪里了？由此可见，太原师范学院学院有多么的失败，失败的领导，失败的教育 收起全文"
#高考#学弟学妹们记住了千万不要报名太原师范学院啊，不管是真的还是假的。千万不要拿自己的前提开玩笑呀ヽ( ￣д￣;)ノ 漳州 ?
我提出了问题 “太原师范学院的舞蹈表演专业，值得花四年时间学习吗？” 太原师范学院的舞蹈表演专业，值得花四年时间学习吗？ ?
#最美毕业季#山西约拍#毕业季##山西大学城##太原师范学院# 美丽不止表面，更藏在细节之中。 晋中·太原师范学院 ?
"遇到橙子味不记得什么时候听到过这样一段话：我一直相信，这个世界上是有一些爱情如同宿命般无从逃脱，不可取代，需以性命相搏的。一直以来我和很多女孩子一样都是一个浪漫主义者，童年时期也会爱看很多童话故事，然后幻想着自己是里面的女主角，和英俊的男主发生那一段惊天动地的爱情故事。渐渐长大 ?  展开全文,遇到橙子味不记得什么时候听到过这样一段话：我一直相信，这个世界上是有一些爱情如同宿命般无从逃脱，不可取代，需以性命相搏的。一直以来我和很多女孩子一样都是一个浪漫主义者，童年时期也会爱看很多童话故事，然后幻想着自己是里面的女主角，和英俊的男主发生那一段惊天动地的爱情故事。渐渐长大也会对未来的他产生了一些的幻想，他到底会是什么样子，会不会笑起来像阳光一样温暖。 正因为这样，我比较喜欢观察周围人的生活，也一直相信创作来源于生活，小人物也会有很精彩的故事，而我们往往会把这些忽略。在现实中，很多优秀的文章，电影都是根据真实故事加以创作出来的。生活才是最好的老师。不管是九把刀《那些年，我们追的女孩》，美国电影《当幸福来敲门》，还是法国的电影《触不可及》都是根据真实事件改编，也都取得了很高的成就。所以我觉得每个人的故事都是独一无二的，那些人，那些事，真真切切的存在，带给过你快乐或者痛苦。现在就有一个机会让你说出那些属于你的故事。 前两天我和舍友坐在操场上聊天，突然说起了以前，我发现我们都有差不多的经历，就是在那个还没有一部属于自己的手机的时候，在那个荷尔蒙萌芽的时候，我们以各种理由偷偷地拿着父母的手机和有好感的那个他聊着天南海北。不知道你是否也有着相同的经历，曾经qq那头的ta又在哪里，过着怎样的生活。??? 好像在高中时期很想创办属于自己的一个平台，记录自己这些年发生过的事情，遇到过的人，但是那时候因为高考的压力就一直没有去实现，现在上了大学，时间也相对轻松了，大学最开心的应该就是学了喜欢的专业，做了自己从前想做却不敢做的事情。???????我是山西太原师范学院18级广播电视编导专业的学生，这是我个人创办的一个公众号。我知道你不是没有故事的女【男】同学，所以告诉我关于你的故事吧，每个人都是自己故事里绝对的主角，如果可以我会尽我的能力把你的故事拍成微电影，把你的故事写成微小说。也欢迎同样喜欢文字创作和影视艺术表演，喜欢摄影，喜欢电影的同学关注我的公众号，也可以加我的微信cj18797459586，和我分享电影，音乐。一起交流一下经验，一起学习，一起成长。公众号每周一晚上11点更新一篇新的文章或者给大家推荐我看过的经典优秀的电影或者音乐，大家无聊了可以在这里面找到一些优秀的电影看，希望这能给你带来一些兴趣，爱上电影，爱上写作。最后分享一句经典电影台词给还没有遇到自己喜欢的人的小哥哥小姐姐 ：“有些人浅薄，有些人金玉其外败絮其中，但总有一天，你会遇到一个如彩虹般绚烂的人，他会让你觉得你以前遇到的所有人不过是浮云。”谢谢！ 收起全文"
